pdb,ligand,mw,decision,reason
4H5W,,,skip,low_identity
4HWI,,,skip,no_ligands
4J8C,,,skip,no_ligands
4J8D,,,skip,no_ligands
4J8E,,,skip,no_ligands
4J8F,,,skip,no_ligands
4KBQ,,,skip,no_ligands
5AQF,,,skip,low_identity
5AQG,,,skip,low_identity
5AQH,,,skip,low_identity
5AQI,,,skip,low_identity
5AQJ,,,skip,low_identity
5AQK,,,skip,low_identity
5AQL,,,skip,low_identity
5AQM,,,skip,low_identity
5AQN,,,skip,low_identity
5AQO,,,skip,low_identity
5AQP,,,skip,low_identity
5AQQ,,,skip,low_identity
5AQR,,,skip,low_identity
5AQS,,,skip,low_identity
5AQT,,,skip,low_identity
5AQU,,,skip,low_identity
5AQV,,,skip,low_identity
5AQW,,,skip,low_identity
5AQX,,,skip,low_identity
5AQY,,,skip,low_identity
6B1I,,,skip,low_identity
6B1M,,,skip,low_identity
6B1N,,,skip,low_identity
6EFK,,,skip,no_ligands
6H54,3FD,556.401,keep,keep
6H54,TMO,75.11,skip,too_small
6NSV,,,skip,no_ligands
6ZYJ,,,skip,low_identity
7HSC,,,skip,no_ligands
7KW7,,,skip,no_ligands
7O6R,,,skip,low_identity
7ODB,,,skip,low_identity
7ODD,VLS,179.171,keep,keep
7ODI,,,skip,low_identity
7PLK,,,skip,low_identity
7TB1,I1J,122.209,skip,too_small
7ZHS,,,skip,no_ligands
8EHZ,WHL,192.214,keep,keep
8EI0,WHL,192.214,keep,keep
8F14,DAS,133.103,skip,too_small
8F14,DCY,121.158,skip,too_small
8F14,DGL,147.129,skip,too_small
8F14,DIL,131.173,skip,too_small
8F14,DPN,165.189,keep,keep
8F14,DPR,115.13,skip,too_small
8F14,DSG,132.118,skip,too_small
8F14,DTR,204.225,keep,keep
8F14,DTY,181.189,keep,keep
8F14,NH2,16.023,skip,too_small
8F14,WHL,192.214,keep,keep
8F15,DAR,175.209,keep,keep
8F15,DAS,133.103,skip,too_small
8F15,DCY,121.158,skip,too_small
8F15,DGL,147.129,skip,too_small
8F15,DGN,146.144,skip,too_small
8F15,DLE,131.173,skip,too_small
8F15,DPN,165.189,keep,keep
8F15,DPR,115.13,skip,too_small
8F15,DSN,105.093,skip,too_small
8F15,DTR,204.225,keep,keep
8F15,WHL,192.214,keep,keep
8F16,DAR,175.209,keep,keep
8F16,DAS,133.103,skip,too_small
8F16,DCY,121.158,skip,too_small
8F16,DGL,147.129,skip,too_small
8F16,DHI,156.162,keep,keep
8F16,DPR,115.13,skip,too_small
8F16,DSN,105.093,skip,too_small
8F16,DTR,204.225,keep,keep
8F16,DTY,181.189,keep,keep
8F16,MED,149.211,skip,too_small
8F16,NH2,16.023,skip,too_small
8F16,WHL,192.214,keep,keep
8F17,DAS,133.103,skip,too_small
8F17,DCY,121.158,skip,too_small
8F17,DHI,156.162,keep,keep
8F17,DIL,131.173,skip,too_small
8F17,DLE,131.173,skip,too_small
8F17,DPR,115.13,skip,too_small
8F17,DSN,105.093,skip,too_small
8F17,DTR,204.225,keep,keep
8F17,DTY,181.189,keep,keep
8F17,DVA,117.146,skip,too_small
8F17,NH2,16.023,skip,too_small
8F17,WHL,192.214,keep,keep
8FYU,,,skip,no_ligands
8GCK,,,skip,no_ligands
8RQM,,,skip,low_identity
8RRR,,,skip,no_ligands
8SUV,,,skip,no_ligands
9DRY,,,skip,no_ligands
9DYA,,,skip,no_ligands
9DYB,,,skip,no_ligands
9QEU,A1I,249.266,keep,keep
9QF1,A1I,249.266,keep,keep
9QFS,A1I,249.266,keep,keep
9QFY,A1I,249.266,keep,keep
9R1P,A1J,353.051,keep,keep
