Sample	Tissgrp
SRR1084577	Whole_Blood
SRR1084602	Lung
SRR1084720	Whole_Blood
SRR1084766	Lung
SRR1084892	Heart_Atrial_Appendage
SRR1084965	Heart_Left_Ventricle
SRR1085187	Pancreas
SRR1085235	Colon_Transverse
SRR1085259	Colon_Transverse
SRR1085310	Pancreas
SRR1085450	Stomach
SRR1085519	Muscle_Skeletal
SRR1085687	Thyroid
SRR1085925	Heart_Left_Ventricle
SRR1086070	Pancreas
SRR1086140	Heart_Left_Ventricle
SRR1086164	Colon_Transverse
SRR1086304	Heart_Left_Ventricle
SRR1086728	Lung
SRR1086844	Heart_Left_Ventricle
SRR1086889	Heart_Atrial_Appendage
SRR1087101	Stomach
SRR1087197	Heart_Left_Ventricle
SRR1087271	Colon_Sigmoid
SRR1087487	Whole_Blood
SRR1087559	Lung
SRR1087704	Colon_Transverse
SRR1087752	Colon_Transverse
SRR1087825	Muscle_Skeletal
SRR1087992	Heart_Left_Ventricle
SRR1088044	Thyroid
SRR1088068	Stomach
SRR1088117	Stomach
SRR1088142	Heart_Left_Ventricle
SRR1088168	Whole_Blood
SRR1088291	Pancreas
SRR1088340	Heart_Atrial_Appendage
SRR1088413	Pancreas
SRR1088537	Pancreas
SRR1088680	Stomach
SRR1088734	Heart_Atrial_Appendage
SRR1088782	Stomach
SRR1088808	Thyroid
SRR1088878	Stomach
SRR1089424	Muscle_Skeletal
SRR1089537	Pancreas
SRR1089688	Pancreas
SRR1089737	Stomach
SRR1089809	Thyroid
SRR1089901	Muscle_Skeletal
SRR1089926	Thyroid
SRR1090119	Colon_Transverse
SRR1090334	Colon_Transverse
SRR1090383	Colon_Transverse
SRR1090431	Colon_Sigmoid
SRR1090483	Heart_Atrial_Appendage
SRR1090508	Whole_Blood
SRR1090626	Colon_Transverse
SRR1090770	Thyroid
SRR1090815	Thyroid
SRR1090907	Whole_Blood
SRR1091032	Pancreas
SRR1091054	Colon_Transverse
SRR1091144	Pancreas
SRR1091356	Stomach
SRR1091452	Whole_Blood
SRR1091524	Colon_Sigmoid
SRR1091548	Stomach
SRR1091817	Whole_Blood
SRR1092184	Stomach
SRR1092281	Stomach
SRR1092349	Muscle_Skeletal
SRR1092397	Colon_Transverse
SRR1092422	Whole_Blood
SRR1092493	Colon_Sigmoid
SRR1092541	Whole_Blood
SRR1092567	Thyroid
SRR1092749	Colon_Transverse
SRR1092889	Heart_Atrial_Appendage
SRR1092937	Pancreas
SRR1092985	Muscle_Skeletal
SRR1093243	Heart_Atrial_Appendage
SRR1093269	Heart_Atrial_Appendage
SRR1093340	Pancreas
SRR1093366	Colon_Sigmoid
SRR1093390	Stomach
SRR1093434	Pancreas
SRR1093504	Stomach
SRR1093577	Pancreas
SRR1093649	Heart_Left_Ventricle
SRR1094051	Muscle_Skeletal
SRR1094192	Heart_Atrial_Appendage
SRR1094506	Heart_Left_Ventricle
SRR1094555	Stomach
SRR1095407	Pancreas
SRR1095479	Pancreas
SRR1095651	Pancreas
SRR1095675	Colon_Transverse
SRR1095695	Lung
SRR1095720	Muscle_Skeletal
SRR1095937	Thyroid
SRR1096174	Muscle_Skeletal
SRR1096247	Stomach
SRR1096571	Whole_Blood
SRR1096662	Muscle_Skeletal
SRR1096924	Colon_Transverse
SRR1097320	Stomach
SRR1097525	Colon_Transverse
SRR1097618	Stomach
SRR1097777	Pancreas
SRR1097811	Colon_Transverse
SRR1097883	Pancreas
SRR1098002	Colon_Transverse
SRR1098074	Lung
SRR1098098	Colon_Transverse
SRR1098146	Stomach
SRR1098192	Pancreas
SRR1098288	Heart_Atrial_Appendage
SRR1098361	Stomach
SRR1098474	Muscle_Skeletal
SRR1098495	Stomach
SRR1098543	Pancreas
SRR1098588	Stomach
SRR1098660	Colon_Transverse
SRR1098785	Lung
SRR1098855	Stomach
SRR1098879	Muscle_Skeletal
SRR1098928	Pancreas
SRR1098998	Lung
SRR1099260	Whole_Blood
SRR1099286	Lung
SRR1099354	Colon_Transverse
SRR1099451	Colon_Transverse
SRR1099520	Thyroid
SRR1099546	Lung
SRR1099648	Whole_Blood
SRR1099744	Whole_Blood
SRR1099765	Colon_Transverse
SRR1099833	Pancreas
SRR1099931	Colon_Transverse
SRR1100395	Colon_Transverse
SRR1100588	Muscle_Skeletal
SRR1100776	Stomach
SRR1100800	Pancreas
SRR1101280	Colon_Transverse
SRR1101324	Whole_Blood
SRR1101483	Whole_Blood
SRR1101542	Pancreas
SRR1101741	Colon_Transverse
SRR1101787	Whole_Blood
SRR1101981	Stomach
SRR1102031	Whole_Blood
SRR1102079	Lung
SRR1102176	Colon_Transverse
SRR1102198	Colon_Sigmoid
SRR1102224	Colon_Sigmoid
SRR1102272	Stomach
SRR1102369	Stomach
SRR1102756	Heart_Atrial_Appendage
SRR1102804	Lung
SRR1103072	Colon_Transverse
SRR1105033	Colon_Transverse
SRR1105057	Muscle_Skeletal
SRR1105513	Stomach
SRR1120363	Pancreas
SRR1120733	Colon_Transverse
SRR1120825	Stomach
SRR1120891	Colon_Transverse
SRR1307699	Heart_Left_Ventricle
SRR1307808	Pancreas
SRR1308200	Heart_Atrial_Appendage
SRR1308269	Colon_Sigmoid
SRR1308504	Lung
SRR1308674	Heart_Atrial_Appendage
SRR1308696	Heart_Left_Ventricle
SRR1308715	Thyroid
SRR1309070	Muscle_Skeletal
SRR1309468	Lung
SRR1309490	Lung
SRR1309556	Muscle_Skeletal
SRR1309578	Thyroid
SRR1309657	Thyroid
SRR1309702	Muscle_Skeletal
SRR1309723	Stomach
SRR1309856	Heart_Atrial_Appendage
SRR1309875	Pancreas
SRR1309942	Muscle_Skeletal
SRR1310373	Heart_Left_Ventricle
SRR1310412	Whole_Blood
SRR1310476	Muscle_Skeletal
SRR1310520	Lung
SRR1310563	Heart_Left_Ventricle
SRR1310690	Pancreas
SRR1310735	Muscle_Skeletal
SRR1310758	Thyroid
SRR1310797	Lung
SRR1310836	Muscle_Skeletal
SRR1310876	Colon_Transverse
SRR1310898	Colon_Transverse
SRR1310920	Stomach
SRR1311062	Whole_Blood
SRR1311109	Heart_Atrial_Appendage
SRR1311243	Heart_Left_Ventricle
SRR1311419	Whole_Blood
SRR1311464	Colon_Transverse
SRR1311509	Heart_Left_Ventricle
SRR1311553	Muscle_Skeletal
SRR1311644	Whole_Blood
SRR1311752	Pancreas
SRR1311897	Thyroid
SRR1312024	Thyroid
SRR1312187	Whole_Blood
SRR1312388	Stomach
SRR1312406	Muscle_Skeletal
SRR1312482	Heart_Atrial_Appendage
SRR1312522	Lung
SRR1312540	Heart_Left_Ventricle
SRR1312558	Lung
SRR1312577	Colon_Sigmoid
SRR1312598	Whole_Blood
SRR1312666	Colon_Sigmoid
SRR1312684	Muscle_Skeletal
SRR1312725	Heart_Left_Ventricle
SRR1312784	Colon_Sigmoid
SRR1312865	Lung
SRR1312906	Stomach
SRR1313449	Stomach
SRR1313514	Whole_Blood
SRR1313560	Heart_Left_Ventricle
SRR1313625	Colon_Transverse
SRR1313687	Muscle_Skeletal
SRR1313789	Thyroid
SRR1313853	Heart_Atrial_Appendage
SRR1313910	Whole_Blood
SRR1313969	Muscle_Skeletal
SRR1314071	Thyroid
SRR1314749	Lung
SRR1314832	Muscle_Skeletal
SRR1314851	Heart_Atrial_Appendage
SRR1314916	Whole_Blood
SRR1314976	Lung
SRR1315103	Lung
SRR1315188	Thyroid
SRR1315309	Stomach
SRR1315393	Heart_Atrial_Appendage
SRR1315517	Whole_Blood
SRR1316174	Thyroid
SRR1316231	Stomach
SRR1316343	Colon_Transverse
SRR1316463	Colon_Transverse
SRR1316725	Heart_Atrial_Appendage
SRR1316793	Thyroid
SRR1317001	Thyroid
SRR1317064	Whole_Blood
SRR1317110	Colon_Sigmoid
SRR1317134	Muscle_Skeletal
SRR1317218	Thyroid
SRR1317305	Heart_Left_Ventricle
SRR1317387	Pancreas
SRR1317428	Heart_Left_Ventricle
SRR1317653	Colon_Sigmoid
SRR1317707	Heart_Atrial_Appendage
SRR1317832	Whole_Blood
SRR1317898	Whole_Blood
SRR1318005	Whole_Blood
SRR1318118	Lung
SRR1318208	Colon_Transverse
SRR1318241	Whole_Blood
SRR1318465	Muscle_Skeletal
SRR1318484	Heart_Atrial_Appendage
SRR1318503	Pancreas
SRR1318560	Muscle_Skeletal
SRR1318605	Whole_Blood
SRR1318624	Colon_Sigmoid
SRR1318662	Heart_Atrial_Appendage
SRR1318815	Whole_Blood
SRR1318839	Muscle_Skeletal
SRR1318857	Whole_Blood
SRR1318998	Heart_Left_Ventricle
SRR1319038	Colon_Sigmoid
SRR1319078	Stomach
SRR1319118	Pancreas
SRR1319283	Thyroid
SRR1319344	Heart_Left_Ventricle
SRR1319461	Whole_Blood
SRR1319502	Colon_Transverse
SRR1319626	Muscle_Skeletal
SRR1319648	Muscle_Skeletal
SRR1319710	Muscle_Skeletal
SRR1319753	Muscle_Skeletal
SRR1319772	Whole_Blood
SRR1319858	Thyroid
SRR1319924	Thyroid
SRR1320137	Whole_Blood
SRR1320203	Stomach
SRR1320225	Muscle_Skeletal
SRR1320321	Muscle_Skeletal
SRR1320363	Whole_Blood
SRR1320403	Whole_Blood
SRR1320445	Colon_Sigmoid
SRR1320469	Muscle_Skeletal
SRR1320490	Colon_Sigmoid
SRR1320579	Muscle_Skeletal
SRR1320939	Heart_Left_Ventricle
SRR1321225	Heart_Left_Ventricle
SRR1321377	Colon_Sigmoid
SRR1321420	Heart_Atrial_Appendage
SRR1321505	Heart_Left_Ventricle
SRR1321528	Lung
SRR1321608	Heart_Atrial_Appendage
SRR1321765	Pancreas
SRR1321808	Lung
SRR1321987	Muscle_Skeletal
SRR1322028	Pancreas
SRR1322070	Colon_Sigmoid
SRR1322186	Colon_Transverse
SRR1322395	Heart_Left_Ventricle
SRR1322494	Thyroid
SRR1322512	Stomach
SRR1322595	Lung
SRR1322619	Whole_Blood
SRR1322662	Muscle_Skeletal
SRR1322711	Thyroid
SRR1322730	Pancreas
SRR1322790	Thyroid
SRR1322816	Pancreas
SRR1322900	Muscle_Skeletal
SRR1323002	Colon_Sigmoid
SRR1323065	Thyroid
SRR1323087	Muscle_Skeletal
SRR1323152	Muscle_Skeletal
SRR1323215	Colon_Sigmoid
SRR1323312	Colon_Transverse
SRR1323404	Stomach
SRR1323446	Colon_Transverse
SRR1323512	Heart_Atrial_Appendage
SRR1323628	Heart_Left_Ventricle
SRR1323850	Thyroid
SRR1323873	Colon_Transverse
SRR1323896	Lung
SRR1323914	Thyroid
SRR1323936	Thyroid
SRR1324102	Pancreas
SRR1324250	Lung
SRR1324390	Muscle_Skeletal
SRR1324473	Colon_Sigmoid
SRR1324519	Pancreas
SRR1324545	Heart_Atrial_Appendage
SRR1325225	Muscle_Skeletal
SRR1325247	Heart_Atrial_Appendage
SRR1325353	Thyroid
SRR1325377	Muscle_Skeletal
SRR1325504	Heart_Left_Ventricle
SRR1325620	Colon_Transverse
SRR1325690	Stomach
SRR1325888	Lung
SRR1326020	Pancreas
SRR1326040	Heart_Left_Ventricle
SRR1326161	Muscle_Skeletal
SRR1326249	Lung
SRR1326292	Muscle_Skeletal
SRR1326384	Lung
SRR1326624	Muscle_Skeletal
SRR1326687	Heart_Left_Ventricle
SRR1326752	Lung
SRR1326773	Whole_Blood
SRR1327303	Pancreas
SRR1327349	Thyroid
SRR1327366	Thyroid
SRR1327386	Lung
SRR1327410	Thyroid
SRR1327454	Colon_Sigmoid
SRR1327505	Colon_Sigmoid
SRR1327527	Colon_Sigmoid
SRR1327570	Colon_Sigmoid
SRR1327632	Thyroid
SRR1327680	Heart_Left_Ventricle
SRR1327702	Muscle_Skeletal
SRR1327872	Pancreas
SRR1328101	Muscle_Skeletal
SRR1328360	Stomach
SRR1328383	Whole_Blood
SRR1328407	Whole_Blood
SRR1328528	Colon_Sigmoid
SRR1328738	Pancreas
SRR1328797	Muscle_Skeletal
SRR1328980	Colon_Sigmoid
SRR1329003	Muscle_Skeletal
SRR1329068	Thyroid
SRR1329108	Stomach
SRR1329131	Colon_Transverse
SRR1329177	Heart_Left_Ventricle
SRR1329442	Thyroid
SRR1329464	Thyroid
SRR1329530	Colon_Transverse
SRR1329642	Colon_Sigmoid
SRR1329663	Colon_Sigmoid
SRR1329687	Colon_Transverse
SRR1329726	Stomach
SRR1329909	Stomach
SRR1330129	Whole_Blood
SRR1330153	Heart_Left_Ventricle
SRR1330176	Colon_Sigmoid
SRR1330327	Muscle_Skeletal
SRR1330522	Whole_Blood
SRR1330609	Stomach
SRR1330633	Heart_Atrial_Appendage
SRR1330746	Pancreas
SRR1330770	Colon_Sigmoid
SRR1330831	Colon_Sigmoid
SRR1330854	Muscle_Skeletal
SRR1330901	Pancreas
SRR1330944	Heart_Atrial_Appendage
SRR1330965	Heart_Left_Ventricle
SRR1330989	Lung
SRR1331013	Heart_Atrial_Appendage
SRR1331037	Pancreas
SRR1331220	Muscle_Skeletal
SRR1331311	Whole_Blood
SRR1331383	Thyroid
SRR1331405	Colon_Transverse
SRR1331444	Heart_Left_Ventricle
SRR1331639	Muscle_Skeletal
SRR1331684	Whole_Blood
SRR1331858	Stomach
SRR1331922	Muscle_Skeletal
SRR1332007	Whole_Blood
SRR1332299	Muscle_Skeletal
SRR1332467	Colon_Sigmoid
SRR1332544	Lung
SRR1332607	Heart_Left_Ventricle
SRR1332713	Thyroid
SRR1332835	Heart_Atrial_Appendage
SRR1333167	Colon_Sigmoid
SRR1333209	Whole_Blood
SRR1333240	Whole_Blood
SRR1333287	Colon_Sigmoid
SRR1333414	Heart_Atrial_Appendage
SRR1333462	Whole_Blood
SRR1333550	Thyroid
SRR1333570	Whole_Blood
SRR1333718	Whole_Blood
SRR1334011	Colon_Sigmoid
SRR1334055	Colon_Sigmoid
SRR1334074	Lung
SRR1334134	Colon_Transverse
SRR1334154	Heart_Atrial_Appendage
SRR1334181	Colon_Sigmoid
SRR1334247	Muscle_Skeletal
SRR1334314	Pancreas
SRR1334338	Heart_Left_Ventricle
SRR1334490	Lung
SRR1334512	Muscle_Skeletal
SRR1334694	Heart_Atrial_Appendage
SRR1334889	Muscle_Skeletal
SRR1334919	Heart_Left_Ventricle
SRR1334939	Thyroid
SRR1335164	Heart_Atrial_Appendage
SRR1335296	Thyroid
SRR1335422	Lung
SRR1335513	Lung
SRR1335627	Heart_Atrial_Appendage
SRR1335670	Lung
SRR1335940	Thyroid
SRR1335984	Pancreas
SRR1336113	Thyroid
SRR1336134	Heart_Atrial_Appendage
SRR1336205	Colon_Transverse
SRR1336227	Colon_Transverse
SRR1336569	Muscle_Skeletal
SRR1336617	Colon_Sigmoid
SRR1336706	Whole_Blood
SRR1336863	Colon_Sigmoid
SRR1336964	Colon_Sigmoid
SRR1336988	Colon_Transverse
SRR1337031	Lung
SRR1337137	Thyroid
SRR1337173	Muscle_Skeletal
SRR1337238	Heart_Left_Ventricle
SRR1337364	Thyroid
SRR1337388	Heart_Atrial_Appendage
SRR1337495	Colon_Sigmoid
SRR1337516	Colon_Sigmoid
SRR1337540	Whole_Blood
SRR1337794	Stomach
SRR1337816	Colon_Transverse
SRR1337953	Stomach
SRR1338055	Whole_Blood
SRR1338280	Colon_Transverse
SRR1338363	Heart_Left_Ventricle
SRR1338489	Colon_Sigmoid
SRR1338513	Pancreas
SRR1338560	Muscle_Skeletal
SRR1338603	Colon_Transverse
SRR1338648	Whole_Blood
SRR1338705	Stomach
SRR1338880	Whole_Blood
SRR1338901	Thyroid
SRR1339029	Lung
SRR1339065	Colon_Sigmoid
SRR1339108	Muscle_Skeletal
SRR1339321	Heart_Atrial_Appendage
SRR1339366	Thyroid
SRR1339413	Thyroid
SRR1339508	Thyroid
SRR1339619	Whole_Blood
SRR1339675	Thyroid
SRR1339788	Pancreas
SRR1339834	Whole_Blood
SRR1339856	Whole_Blood
SRR1339921	Heart_Left_Ventricle
SRR1340047	Pancreas
SRR1340280	Heart_Left_Ventricle
SRR1340441	Heart_Left_Ventricle
SRR1340617	Heart_Atrial_Appendage
SRR1340641	Heart_Atrial_Appendage
SRR1340680	Colon_Transverse
SRR1340862	Stomach
SRR1340885	Whole_Blood
SRR1340924	Thyroid
SRR1340966	Colon_Sigmoid
SRR1341034	Thyroid
SRR1341164	Whole_Blood
SRR1341209	Colon_Transverse
SRR1341256	Thyroid
SRR1341321	Stomach
SRR1341408	Heart_Atrial_Appendage
SRR1341456	Heart_Left_Ventricle
SRR1341626	Pancreas
SRR1341721	Colon_Transverse
SRR1341833	Lung
SRR1341945	Colon_Sigmoid
SRR1341965	Heart_Atrial_Appendage
SRR1342023	Lung
SRR1342088	Thyroid
SRR1342701	Heart_Atrial_Appendage
SRR1342739	Muscle_Skeletal
SRR1342782	Muscle_Skeletal
SRR1342806	Colon_Transverse
SRR1342916	Heart_Left_Ventricle
SRR1342938	Thyroid
SRR1342960	Colon_Transverse
SRR1343072	Colon_Transverse
SRR1343324	Stomach
SRR1343414	Colon_Sigmoid
SRR1343433	Thyroid
SRR1343456	Stomach
SRR1343501	Whole_Blood
SRR1343546	Colon_Sigmoid
SRR1343653	Heart_Atrial_Appendage
SRR1343698	Colon_Transverse
SRR1343795	Heart_Atrial_Appendage
SRR1343859	Heart_Left_Ventricle
SRR1343967	Pancreas
SRR1344100	Thyroid
SRR1344122	Colon_Sigmoid
SRR1344271	Heart_Atrial_Appendage
SRR1344382	Muscle_Skeletal
SRR1344422	Muscle_Skeletal
SRR1345178	Stomach
SRR1345221	Heart_Left_Ventricle
SRR1345266	Whole_Blood
SRR1345284	Muscle_Skeletal
SRR1345412	Whole_Blood
SRR1345436	Heart_Atrial_Appendage
SRR1345541	Whole_Blood
SRR1345563	Lung
SRR1345669	Thyroid
SRR1345736	Heart_Left_Ventricle
SRR1345760	Muscle_Skeletal
SRR1345827	Heart_Atrial_Appendage
SRR1345847	Whole_Blood
SRR1345871	Stomach
SRR1345894	Muscle_Skeletal
SRR1345936	Lung
SRR1346838	Stomach
SRR1346933	Lung
SRR1346978	Thyroid
SRR1347020	Lung
SRR1347082	Stomach
SRR1347214	Muscle_Skeletal
SRR1347500	Heart_Left_Ventricle
SRR1347667	Heart_Left_Ventricle
SRR1347795	Lung
SRR1347916	Colon_Sigmoid
SRR1347937	Muscle_Skeletal
SRR1347959	Pancreas
SRR1348040	Muscle_Skeletal
SRR1348094	Colon_Sigmoid
SRR1348114	Whole_Blood
SRR1348181	Whole_Blood
SRR1348226	Heart_Left_Ventricle
SRR1348248	Stomach
SRR1348270	Thyroid
SRR1348318	Thyroid
SRR1348507	Colon_Sigmoid
SRR1348792	Colon_Sigmoid
SRR1348951	Whole_Blood
SRR1349032	Whole_Blood
SRR1349144	Thyroid
SRR1349166	Lung
SRR1349190	Colon_Transverse
SRR1349209	Muscle_Skeletal
SRR1349231	Muscle_Skeletal
SRR1349433	Heart_Atrial_Appendage
SRR1349497	Thyroid
SRR1349518	Thyroid
SRR1349540	Thyroid
SRR1349772	Heart_Left_Ventricle
SRR1349851	Muscle_Skeletal
SRR1349893	Heart_Left_Ventricle
SRR1349956	Heart_Left_Ventricle
SRR1350263	Thyroid
SRR1350435	Muscle_Skeletal
SRR1350479	Colon_Sigmoid
SRR1350566	Thyroid
SRR1350588	Thyroid
SRR1350832	Muscle_Skeletal
SRR1350855	Whole_Blood
SRR1350936	Thyroid
SRR1350997	Stomach
SRR1351166	Whole_Blood
SRR1351280	Muscle_Skeletal
SRR1351480	Muscle_Skeletal
SRR1351583	Heart_Atrial_Appendage
SRR1351624	Thyroid
SRR1351836	Whole_Blood
SRR1351931	Heart_Left_Ventricle
SRR1351955	Colon_Sigmoid
SRR1351979	Muscle_Skeletal
SRR1352001	Thyroid
SRR1352111	Heart_Left_Ventricle
SRR1352213	Heart_Left_Ventricle
SRR1352234	Heart_Atrial_Appendage
SRR1352322	Colon_Transverse
SRR1352391	Lung
SRR1352575	Thyroid
SRR1352619	Heart_Left_Ventricle
SRR1352683	Lung
SRR1352936	Heart_Left_Ventricle
SRR1353118	Colon_Transverse
SRR1353332	Colon_Sigmoid
SRR1353461	Pancreas
SRR1353517	Muscle_Skeletal
SRR1353555	Muscle_Skeletal
SRR1353577	Colon_Sigmoid
SRR1353900	Muscle_Skeletal
SRR1353948	Colon_Transverse
SRR1353970	Heart_Left_Ventricle
SRR1354035	Colon_Transverse
SRR1354225	Thyroid
SRR1354270	Muscle_Skeletal
SRR1354291	Whole_Blood
SRR1354338	Pancreas
SRR1354489	Muscle_Skeletal
SRR1354532	Stomach
SRR1354599	Heart_Left_Ventricle
SRR1354644	Muscle_Skeletal
SRR1354665	Whole_Blood
SRR1354710	Heart_Left_Ventricle
SRR1354955	Muscle_Skeletal
SRR1355102	Whole_Blood
SRR1355194	Heart_Left_Ventricle
SRR1355217	Muscle_Skeletal
SRR1355352	Muscle_Skeletal
SRR1355396	Muscle_Skeletal
SRR1355578	Lung
SRR1355660	Heart_Left_Ventricle
SRR1355997	Stomach
SRR1356120	Thyroid
SRR1356248	Whole_Blood
SRR1356290	Muscle_Skeletal
SRR1356308	Thyroid
SRR1356487	Heart_Atrial_Appendage
SRR1356509	Colon_Sigmoid
SRR1356553	Whole_Blood
SRR1356577	Lung
SRR1356643	Colon_Transverse
SRR1356705	Muscle_Skeletal
SRR1356725	Stomach
SRR1356976	Colon_Sigmoid
SRR1356997	Colon_Transverse
SRR1357103	Whole_Blood
SRR1357148	Muscle_Skeletal
SRR1357210	Lung
SRR1357233	Lung
SRR1357344	Thyroid
SRR1357456	Colon_Transverse
SRR1357541	Pancreas
SRR1357558	Heart_Left_Ventricle
SRR1357618	Pancreas
SRR1357650	Heart_Atrial_Appendage
SRR1357692	Colon_Transverse
SRR1357757	Whole_Blood
SRR1357781	Whole_Blood
SRR1358017	Heart_Left_Ventricle
SRR1358220	Muscle_Skeletal
SRR1358343	Whole_Blood
SRR1358367	Stomach
SRR1358459	Thyroid
SRR1358482	Heart_Atrial_Appendage
SRR1358582	Heart_Left_Ventricle
SRR1358624	Colon_Sigmoid
SRR1358779	Heart_Left_Ventricle
SRR1359045	Thyroid
SRR1359099	Lung
SRR1359469	Lung
SRR1359509	Colon_Sigmoid
SRR1359529	Thyroid
SRR1359609	Lung
SRR1359694	Pancreas
SRR1359760	Stomach
SRR1359780	Muscle_Skeletal
SRR1359821	Stomach
SRR1360194	Colon_Sigmoid
SRR1360258	Colon_Sigmoid
SRR1360402	Muscle_Skeletal
SRR1360442	Heart_Left_Ventricle
SRR1360523	Thyroid
SRR1360545	Stomach
SRR1360587	Heart_Atrial_Appendage
SRR1360766	Pancreas
SRR1360807	Lung
SRR1361050	Thyroid
SRR1361156	Heart_Atrial_Appendage
SRR1361345	Lung
SRR1361368	Whole_Blood
SRR1361546	Muscle_Skeletal
SRR1361590	Whole_Blood
SRR1361692	Pancreas
SRR1361777	Colon_Sigmoid
SRR1361814	Colon_Sigmoid
SRR1361883	Colon_Sigmoid
SRR1362332	Colon_Transverse
SRR1362395	Whole_Blood
SRR1362488	Heart_Atrial_Appendage
SRR1362514	Colon_Sigmoid
SRR1362579	Colon_Transverse
SRR1362664	Colon_Sigmoid
SRR1362688	Stomach
SRR1362713	Lung
SRR1362824	Heart_Atrial_Appendage
SRR1362928	Colon_Sigmoid
SRR1363611	Whole_Blood
SRR1363742	Whole_Blood
SRR1363908	Muscle_Skeletal
SRR1364641	Stomach
SRR1364658	Lung
SRR1364695	Heart_Left_Ventricle
SRR1364780	Heart_Left_Ventricle
SRR1364935	Thyroid
SRR1364975	Colon_Transverse
